[I][90120][09-06][15:41:35:552][global_config.cpp:527][bolepack][communication]open config file[fillbackconfig/communication.json] success.
[I][90120][09-06][15:41:35:553][inner_type.cpp:63][bolepack][communication]127.0.0.1 , is a loopback iface
[I][90120][09-06][15:41:35:553][inner_type.cpp:111][bolepack][communication]find multicast networks:
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]10.64.38.79
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.1.1
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.2.1
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.0.1
[I][90120][09-06][15:41:35:593][dds_discovery.cpp:56][bolepack][communication]DDSDiscovery::init dis_topic is DiscoveryTopic
[I][90120][09-06][15:41:36:747][zmq_data_writer_impl.cpp:91][bolepack][communication]zmq option[id=1] as below:
ZMQ_SNDHWM=50
ZMQ_RCVHWM=50
ZMQ_LINGER=10
ZMQ_SNDBUF=52428800
ZMQ_RCVBUF=52428800
ZMQ_RATE=1048576
ZMQ_SNDTIMEO=0
ZMQ_RCVTIMEO=1000
ZMQ_RECOVERY_IVL=0
ZMQ_IMMEDIATE=0
ZMQ_HEARTBEAT_IVL=0
ZMQ_IMMEDIATE=0
ZMQ_HEART_BEAT_IVAL=0
ZMQ_HEART_BEAT_TIMEOUT=0;
[I][90120][09-06][15:41:41:653][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2772
[I][90120][09-06][15:41:41:709][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2805
[I][90120][09-06][15:41:41:764][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2838
[I][90120][09-06][15:41:41:817][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2871
[I][90120][09-06][15:41:41:876][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2904
[I][90120][09-06][15:41:41:937][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2937
[I][90120][09-06][15:41:41:987][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2970
[I][90120][09-06][15:41:42:037][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3003
[I][90120][09-06][15:41:42:093][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3036
[I][108336][09-06][15:41:42:100][zmq_data_writer_impl.cpp:357][bolepack][communication]Force zmq into processing commands to free unused memory due to zmq reconnection.
[I][90120][09-06][15:41:42:141][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3069
[I][90120][09-06][15:41:42:191][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3102
[I][90120][09-06][15:41:42:240][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3135
[I][90120][09-06][15:41:42:289][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3168
[I][90120][09-06][15:41:42:340][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3201
[I][90120][09-06][15:41:42:390][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3234
[I][90120][09-06][15:41:42:441][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3267
[I][90120][09-06][15:41:42:510][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3300
[I][90120][09-06][15:41:42:561][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3333
[I][90120][09-06][15:41:42:609][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3366
[I][90120][09-06][15:41:42:662][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3399
[I][90120][09-06][15:41:42:716][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3432
[I][90120][09-06][15:41:42:768][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3465
[I][90120][09-06][15:41:42:823][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3498
[I][90120][09-06][15:41:42:872][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3531
[I][90120][09-06][15:41:42:931][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3564
[I][90120][09-06][15:41:42:982][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3597
[I][90120][09-06][15:41:43:031][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3630
[I][90120][09-06][15:41:43:084][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3663
[I][108336][09-06][15:41:43:103][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 128
[I][108336][09-06][15:41:43:103][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 4
[I][90120][09-06][15:41:43:136][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3696
[I][90120][09-06][15:41:43:186][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3729
[I][90120][09-06][15:41:43:234][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3762
[I][108336][09-06][15:41:43:272][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 2
[I][90120][09-06][15:41:43:284][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3795
[I][90120][09-06][15:41:43:338][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3828
[I][90120][09-06][15:41:43:387][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3861
[I][90120][09-06][15:41:43:436][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3894
[I][90120][09-06][15:41:43:485][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3927
[I][90120][09-06][15:41:43:538][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3960
[I][90120][09-06][15:41:43:592][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 3993
[I][90120][09-06][15:41:43:641][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4026
[I][90120][09-06][15:41:43:691][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4059
[I][90120][09-06][15:41:43:757][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4092
[I][90120][09-06][15:41:43:808][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4125
[I][90120][09-06][15:41:43:858][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4158
[I][90120][09-06][15:41:43:911][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4191
[I][90120][09-06][15:41:43:970][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4224
[I][90120][09-06][15:41:44:020][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4257
[I][90120][09-06][15:41:44:072][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4290
[I][90120][09-06][15:41:44:130][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4323
[I][90120][09-06][15:41:44:193][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4356
[I][90120][09-06][15:41:44:256][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4389
[I][90120][09-06][15:41:44:322][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4422
[I][90120][09-06][15:41:44:385][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4455
[I][90120][09-06][15:41:44:450][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4488
[I][90120][09-06][15:41:44:519][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4521
[I][90120][09-06][15:41:44:580][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4554
[I][90120][09-06][15:41:44:636][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4587
[I][90120][09-06][15:41:44:691][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4620
[I][90120][09-06][15:41:44:746][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4653
[I][90120][09-06][15:41:44:802][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4686
[I][90120][09-06][15:41:44:854][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4719
[I][90120][09-06][15:41:44:905][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4752
[I][90120][09-06][15:41:44:957][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4785
[I][90120][09-06][15:41:45:034][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4818
[I][90120][09-06][15:41:45:090][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4851
[I][90120][09-06][15:41:45:141][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4884
[I][90120][09-06][15:41:45:190][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4917
[I][90120][09-06][15:41:45:255][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4950
[I][108336][09-06][15:41:45:289][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 128
[I][108336][09-06][15:41:45:289][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 4
[I][90120][09-06][15:41:45:306][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 4983
[I][90120][09-06][15:41:45:355][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5016
[I][90120][09-06][15:41:45:403][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5049
[I][90120][09-06][15:41:45:454][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5082
[I][108336][09-06][15:41:45:476][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 2
[I][90120][09-06][15:41:45:509][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5115
[I][90120][09-06][15:41:45:566][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5148
[I][90120][09-06][15:41:45:625][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5181
[I][90120][09-06][15:41:45:681][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5214
[I][90120][09-06][15:41:45:746][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5247
[I][90120][09-06][15:41:45:809][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 5280
